word,translation,frequency,PoS-1,PoS-2,example in azerbaijani,example in english
KÜRƏ,Sphere (1) / Earth (0),338,Noun,Noun,Kürə və kubikdən müxtəlif fiqurlar düzəltmək olar (1) / Təyyarəçi Yuri Qaqarin Yer kürəsi ətrafında dövr edən ilk insan olub (0),Different figures can be made from spheres and cubes (1) / Pilot Yuri Gagarin was the first person to orbit the Earth (0)
BOĞAZ,Throat (1) / Bosphorus (0),328,Noun,Noun,"Boğaz nahiyəsində 23-27 pulcuq vardır (1) / Boğaz Britaniya Hindistanının Madros vilayyətinin rəhbəri, dövlət adamı Robert Polkun şərəfinə adlandırılıb (0)","There are 23-27 scales in the throat (1) / The Bosphorus was named after statesman Robert Polk, head of the Madros province of British India (0)"
APARAT,Device (1) / Government staff (0),323,Noun,Noun,Aparat ağ alovda itdi (1) / 2006-2015-ci illərdə Azərbaycan Respublikası Gənclər və İdman Nazirliyinin aparat rəhbəri vəzifəsində çalışıb (0),"The device disappeared in a white flame (1) / In 2006-2015, he worked as the chief of staff of the Ministry of Youth and Sports of the Republic of Azerbaijan (0)"
ÇANAQ,Pelvis (1) / Musical instrument part (0),270,Noun,Noun,"Bud sümüyü sümüklə birləşib: çanaq, qamış, diz qapağı (1) / Çanağın metal səsi musiqiyə rəng qatırdı və bu, dinləyiciləri dərindən təsirləndirir, musiqini daha maraqlı edir. (0)","The thigh bone is connected to the bone: pelvis, reed, kneecap (1) / The metal sound of the pelvis added color to the music, which deeply affects the listeners and makes the music more interesting. (0)"
AVAR,Paddle (1) / Folk name (0),266,Noun,Noun,"məsələn, velosiped sürmək, avar çəkmək, boks oynamaq olmaz (1) / O, Avar və Dağıstan valisi Ümmə xan Nüsal xan oğlunun möhtərəm bacısını alaraq onunla qohum olmuşdu (0)","for example, you can't ride a bicycle, row, or play boxing (1) / He was related to Avar and the governor of Dagestan by marrying the respected sister of the governor of Dagestan, Umma Khan Nusal Khan (0)"
BAN,Chassis (1) / Rooster crow (0),251,Noun,Noun,"Araşdırmanın digər bir seqmenti olan avtomobillərin ban tipinə gəldikdə isə (1) / Xoruz banladı və həmin anın sakitliyi bir anda dağıldı, kənd həyatının səs-küylü bir günü başladı. (0)","As for the chassis type of cars, which is another segment of the research (1) / The rooster crowed and the calmness of that moment suddenly broke, a noisy day of village life began. (0)"
VURĞU,Emphasis (1) / Beat (0),249,Noun,Noun,"Bəzən nitqdə xəbəri də məntiqi vurğu altına salmaq olur (1) / Ahəng qanunu, heca və vurğu da fonetikanın mövzularına daxildir (0)","Sometimes the message in speech is also logically emphasized (1) / The law of harmony, syllables and stress are also included in the topics of phonetics (0)"
DÜYÜN,Knot (1) / Wedding (0),237,Noun,Noun,Çünki düyün nöqtəsinin harada olduğu açıq deyilmir (1) / Yeni gəlinin düyün üçün hazırladığı təmtəraqlı çiçək buketi çox gözəl idi. (0),Because it is not clear where the knot point is (1) / The sumptuous flower bouquet prepared by the new bride for the wedding was very beautiful. (0)
QAŞ,Eyebrow (1) / Precious stone (0),236,Noun,Noun,"Göz məndə, qaş məndə (1) / Şahın yollarına daş-qaş səpsinlər (0)","The eye is on me, the eyebrow is on me (1) / Let them sprinkle stones on the roads of the Shah (0)"
ƏQRƏB,Scorpion (1) / Hand of clock (0),198,Noun,Noun,"Xərçəng və Əqrəb bürcündən olanları düzgün istiqamətləndirir, öz işlərində uğur gətirir, onları xoşbəxt edir (1) / Cihazа 4,5 v gərginlik qоşduqdа əqrəb şkаlа üzrə ахırа qədər hərəkət еdir (0)","It guides those from Cancer and Scorpio correctly, brings success in their work, makes them happy (1) / When 4.5 V voltage is applied to the device, the arrow moves to the end of the scale (0)"
KÜRƏK,Back (1) / Paddle (0),129,Noun,Noun,"Buraya beyin, boyun və kürək daxildir. (1) / Adamlar dəstə-dəstə olub əllərində kürək, külüng uçuqları qazımağa başladılar (0)","It includes the brain, neck, and back (1) / People started to dig up the paddle and ashes in their hands in groups (0)"
